Nom de l'organisation,"Type (Association, Groupe informel, Entreprise ou Service public)",Type de lieu,Rue,Code postal,Ville,Code pays,Tag 1,Tag 2,Tag 3,Site web,Description courte,Description longue,Email,Fixe,Mobile,Contact : nom,Contact : email,Contact : téléphone,Contact : rôle,Latitude,Longitude,Lundi,Ouverture matin (ou journée continue) lundi,Fermeture matin lundi,Ouverture après-midi (sauf si une seule tranche horaire) lundi,Fermeture après-midi lundi,Mardi,Ouverture matin (ou journée continue) mardi,Fermeture matin mardi,Ouverture après-midi (sauf si une seule tranche horaire) mardi,Fermeture après-midi mardi,Mercredi,Ouverture matin (ou journée continue) mercredi,Fermeture matin mercredi,Ouverture après-midi (sauf si une seule tranche horaire) mercredi,Fermeture après-midi mercredi,Jeudi,Ouverture matin (ou journée continue) jeudi,Fermeture matin jeudi,Ouverture après-midi (sauf si une seule tranche horaire) jeudi,Fermeture après-midi jeudi,Vendredi,Ouverture matin (ou journée continue) vendredi,Fermeture matin vendredi,Ouverture après-midi (sauf si une seule tranche horaire) vendredi,Fermeture après-midi vendredi,Samedi,Ouverture matin (ou journée continue) samedi,Fermeture matin samedi,Ouverture après-midi (sauf si une seule tranche horaire) samedi,Fermeture après-midi samedi,Dimanche,Ouverture matin (ou journée continue) dimanche,Fermeture matin dimanche,Ouverture après-midi (sauf si une seule tranche horaire) dimanche,Fermeture après-midi dimanche,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Tag 35,Tag 36,Tag 37,Tag 38,Tag 39,Tag 40,Tag 41,Tag 42,Tag 43,Tag 44,Tag 45,Tag 46,Tag 47,Tag 48,Tag 49,Tag 50,Tag 51,null/0,null/1,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
CCAS Saint Philippe,Association,Espace Public Numérique autre,57, Rue Leconte Delisle,97442,SAINT PHILIPPE,RE,,,,,CCAS Saint Philippe,CCAS Saint Philippe,ccas-aidesociale.stphilippe@laposte.net,+262 2 62 37 31 57 ,+262 6 92 95 60 21,PAYET Patrick,ccas-aidesociale.stphilippe@laposte.net,+262 2 62 37 31 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.359092,55.767615,57 Rue Leconte de Lisle 97442 Saint-Philippe,0.8716833855799373,0.8428836050156738,housenumber,97417_0160_00057,57,57 Rue Leconte de Lisle,Rue Leconte de Lisle,97442,Saint-Philippe,"974, La Réunion",97417,,,,ok
CCAS Saint Pierre,Association,Espace Public Numérique autre,2, Rue de la Gendarmerie,97410,SAINT PIERRE,RE,,,,,CCAS Saint Pierre,CCAS Saint Pierre,jacqueslombardie@yahoo.fr,+262 2 62 25 31 16,,LOMBARDIE jacques,jacqueslombardie@yahoo.fr,+262 2 62 25 31 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.342704,55.477771,2 Rue de la Gendarmerie 97410 Saint-Pierre,0.9606263636363636,,housenumber,97416_0167_00002,2,2 Rue de la Gendarmerie,Rue de la Gendarmerie,97410,Saint-Pierre,"974, La Réunion",97416,,,,ok
CCAS Sainte Marie,Association,Espace Public Numérique autre,96-98 Rue Roger PAYET Riviere des pluies,97438,SAINTE MARIE,RE,,,,,CCAS Sainte Marie,CCAS Sainte Marie,secretariat@ccas-saintemarie.re ,+262 2 62 90 20 22 ,,MALLIN Julien,secretariat@ccas-saintemarie.re ,+262 2 62 90 20 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.911495,55.509906,98 Rue Roger Payet 97438 Sainte-Marie,0.6308051410658307,0.614888777429467,housenumber,97418_0220_00098,98,98 Rue Roger Payet,Rue Roger Payet,97438,Sainte-Marie,"974, La Réunion",97418,,,,ok
CCAS Sainte Rose,Association,Espace Public Numérique autre,193 Route Nationale 2,97439,SAINTE ROSE,RE,,,,,CCAS Sainte Rose,CCAS Sainte Rose,nfaustin.ccassterose@orange.fr,+262 2 62 47 22 25,,FAUSTIN Nelly,nfaustin.ccassterose@orange.fr,+262 2 62 47 18 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.127921,55.792867,193 Route Nationale 2 97439 Sainte-Rose,0.9741172727272726,,housenumber,97419_0160_00193,193,193 Route Nationale 2,Route Nationale 2,97439,Sainte-Rose,"974, La Réunion",97419,,,,ok
CCAS Sainte Suzanne,Association,Espace Public Numérique autre,1, rue Isnelle Amelin,97441,SAINTE SUZANNE,RE,,,,,CCAS Sainte Suzanne,CCAS Sainte Suzanne,a.maillotccas@orange.fr ,+262 2 62 98 06 06,+262 6 92 64 67 00,MAILLOT Anne,ccasstesuzanne@wanadoo.fr,+262 2 62 98 06 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.905002,55.599977,1 Rue Isnelle Amelin 97441 Sainte-Suzanne,0.9572745454545454,,housenumber,97420_0783_00001,1,1 Rue Isnelle Amelin,Rue Isnelle Amelin,97441,Sainte-Suzanne,"974, La Réunion",97420,,,,ok
CCAS Salazie,Association,Espace Public Numérique autre,10 Route du bois de pommes,97433,SALAZIE,RE,,,,,CCAS Salazie,CCAS Salazie,ccas.salazie974@wanadoo.fr,+262 2 62 47 62 84,+262 6 92 76 66 14,BOYER Alain,alain.boyer-ccas@wanadoo.fr,+262 2 62 47 62 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.019822,55.546436,10 Route de Bois de Pommes 97433 Salazie,0.870100022172949,0.644660606060606,housenumber,97421_0150_00010,10,10 Route de Bois de Pommes,Route de Bois de Pommes,97433,Salazie,"974, La Réunion",97421,,,,ok
CCAS Trois Bassins,Association,Espace Public Numérique autre,2 Rue du Gal De Gaulle BP5,97426,TROIS BASSINS,RE,,,,,CCAS Trois Bassins,CCAS Trois Bassins,secretariat.ccas3b@orange.fr,+262 2 62 24 80 03 ,,AURE Isaïe,i.aure@dsl3b.orange.fr,+262 2 62 24 85 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.105764,55.294925,2 Rue du Général De Gaulle 97426 Les Trois-Bassins,0.7293215824915824,,housenumber,97423_0095_00002,2,2 Rue du Général De Gaulle,Rue du Général De Gaulle,97426,Les Trois-Bassins,"974, La Réunion",97423,,,,ok
Centre Social Bagatelle,Association,Espace Public Numérique autre,Rue JM TJIBAOU,97441,SAINTE SUZANNE,RE,,,,,Centre Social Bagatelle,Centre Social Bagatelle,solidairesfamilles@sfr.fr,+262 262 13 93 53,,JANICKAN Christelle,solidairesfamilles@sfr.fr,+262 2 62 13 93 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.928302,55.583345,Rue Jean Marie Tjibaou 97441 Sainte-Suzanne,0.7168342975206611,,street,97420_0478,,Rue Jean Marie Tjibaou,Rue Jean Marie Tjibaou,97441,Sainte-Suzanne,"974, La Réunion",97420,,,,ok
Centre Social Bras des Chevrettes,Association,Espace Public Numérique autre,30 bis lot.Soleil bras des chevrettes,97440,SAINT ANDRE,RE,,,,,Centre Social Bras des Chevrettes,Centre Social Bras des Chevrettes,ba.chassagnac@saint-andre.re,+262 2 62 23 61 88,,CHASSAGNAC B.,ba.chassagnac@saint-andré.re,+262 2 62 23 61 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.955031,55.621753,Lotissement Bras des Chevrettes 97440 Saint-André,0.6589501341281668,0.6571333333333332,street,97409_A040,,Lotissement Bras des Chevrettes,Lotissement Bras des Chevrettes,97440,Saint-André,"974, La Réunion",97409,,,,ok
Centre social de la rivière des pluies,Association,Espace Public Numérique autre,111 Rue Roger Payet,97438,SAINTE MARIE,RE,,,,,Centre social de la rivière des pluies,Centre social de la rivière des pluies,secretariat@ccas-saintemarie.re,+262 2 62 73 61 44,,GARNIER Laurence,sec.polesocial@ccas-saintemarie.re,+262 2 62 73 61 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.914711,55.510316,111 Rue Roger Payet 97438 Sainte-Marie,0.9756327272727272,,housenumber,97418_0220_00111,111,111 Rue Roger Payet,Rue Roger Payet,97438,Sainte-Marie,"974, La Réunion",97418,,,,ok
CIAS,Association,Espace Public Numérique autre,60 CD 26 PIERREFOND,97410,SAINT PIERRE,RE,,,,,CIAS,CIAS,patrick.deguigne@civis.re,+262 2 62 33 14 50 ,,DEGUINE Patrick,patrick.deguigne@civis.re,+262 2 62 33 14 51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3098,55.430568,Pierrefonds 97410 Saint-Pierre,0.6809060839160839,0.5528134648370497,street,97416_2y9daz,,Pierrefonds,Pierrefonds,97410,Saint-Pierre,"974, La Réunion",97416,,,,ok
Club de retraité mutualistes de Saint-Louis,Association,Espace Public Numérique autre,55 rue Samuel Treuthard,97421,LA RIVIERE,RE,,,,,Club de retraité mutualistes de Saint-Louis,Club de retraité mutualistes de Saint-Louis,cybercase.saintlouis@wanadoo.fr,+262 2 62 26 05 32,,BARBE Georges,cybercase.saintlouis@wanadoo.fr,+262 2 62 26 05 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.287132,55.412298,55 Rue Samuel Treuthard 97450 Saint-Louis,0.6402584922394678,0.33714209235209236,housenumber,97414_1310_00055,55,55 Rue Samuel Treuthard,Rue Samuel Treuthard,97450,Saint-Louis,"974, La Réunion",97414,,,,ok
Collectif de la Bretagne,Association,Espace Public Numérique autre,261, Rte Gabriel MACE LA BRETAGNE,97490,SAINTE CLOTILDE,RE,,,,,Collectif de la Bretagne,Collectif de la Bretagne,collectif.bretagne@gmail.com,+262 2 62 52 66 57,,,collectif.bretagne@gmail.com,+262 2 62 52 66 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.926855,55.493449,261 Route Gabriel Mace 97490 Saint-Denis,0.6222563636363636,,housenumber,97411_0556_00261,261,261 Route Gabriel Mace,Route Gabriel Mace,97490,Saint-Denis,"974, La Réunion",97411,,,,ok
COLLECTIF MOUFIA BOIS DE NEFLES,Association,Espace Public Numérique autre,20 BD Mahatma Gandhi,97490,SAINT DENIS,RE,,,,,COLLECTIF MOUFIA BOIS DE NEFLES,COLLECTIF MOUFIA BOIS DE NEFLES,cmbdn2011@laposte.net,,,PAUVREZE Guy,cmbdn2011@laposte.net,+262 2 62 28 19 47,,,,Mo,09:00,12:00,14:00,17:00,Tu,09:00,12:00,14:00,17:00,We,09:00,12:00,14:00,17:00,Th,09:00,12:00,14:00,17:00,Fr,09:00,12:00,14:00,17:00,,,,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,,,,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,,,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,,Utiliser outils cartographiques,,Connaître alternatives à Facebook,,Connaître solutions outils bureautiques,Surfer librement sur internet,,Gérer ses emails,Retoucher ses photos,Découvrir le montage vidéo,Faire des diaporamas,Publier des diaporamas en ligne,,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,Découvrir les métiers du numérique,,,,,-20.908079,55.48305,20 Boulevard du Mahatma Gandhi 97490 Saint-Denis,0.7460699999999999,,housenumber,97411_1476_00020,20,20 Boulevard du Mahatma Gandhi,Boulevard du Mahatma Gandhi,97490,Saint-Denis,"974, La Réunion",97411,,,,ok
Cybercase AgirPouNoutout,Association,Espace Public Numérique autre,48 bis rue des Limites  ,97412,BRAS PANON,RE,,,,,Cybercase AgirPouNoutout,Cybercase AgirPouNoutout,pounoutout@wanadoo.fr,+262 2 62 51 60 94,,,pounoutout@wanadoo.fr,+262 2 62 51 60 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.998563,55.676761,48bis Rue des Limites 97412 Bras-Panon,0.897669020979021,,housenumber,97402_0371_00048_bis,48bis,48bis Rue des Limites,Rue des Limites,97412,Bras-Panon,"974, La Réunion",97402,,,,ok
Cyberbase Bois d'Olives,Association,Cyberbase/Cybercase,87 rue des ambavilles,97410,SAINT PIERRE,RE,,,,,Cyberbase Bois d'Olives,Cyberbase Bois d'Olives,cyberbasebo@civis.re,,,LECHAT Mickaël,cyberbasebo@civis.re,+262 2 62 49 94 23,,,,Mo,09:00,17:00,,,Tu,09:00,17:00,,,We,09:00,17:00,,,Th,09:00,17:00,,,Fr,09:00,17:00,,,Sa,09:00,17:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Communiquer et échanger sur Internet,Paramétrer un compte email,,Utiliser un client WebMail,,Utiliser Internet,,Utiliser les réseaux sociaux,Gérer des documents numériques,,,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,,,,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.298088,55.458989,87 Rue des Ambavilles 97432 Saint-Pierre,0.8427516883116881,0.6013193939393939,housenumber,97416_1305_00087,87,87 Rue des Ambavilles,Rue des Ambavilles,97432,Saint-Pierre,"974, La Réunion",97416,,,,ok
Cyber Base de Bois Blanc,Association,Espace Public Numérique autre,4 rue du cimetière,97439,SAINTE ROSE,RE,,,,,Cyber Base de Bois Blanc,Cyber Base de Bois Blanc,ppascaline@cyber-base.org,+262 2 62 47 20 75,,,ppascaline@cyber-base.org,+262 2 62 47 20 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.127256,55.791834,4 Chemin du Cimetiere 97439 Sainte-Rose,0.7130393073593073,,housenumber,97419_0090_00004,4,4 Chemin du Cimetiere,Chemin du Cimetiere,97439,Sainte-Rose,"974, La Réunion",97419,,,,ok
Cyber-base Brasfusil,Association,Espace Public Numérique autre,25,  Rue des Alpinias Chemin David Moreau,97470,SAINT BENOIT,RE,,,,, Cyber-base Brasfusil, Cyber-base Brasfusil,jean.michel.vital@ville-saintbenoit.re,+262 2 62 50 88 35,,VITAL Jean-Michel ,jean.michel.vital@ville-saintbenoit.re,+262 2 62 33 87 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.048132,55.713076,25 Rue des Alpinias 97470 Saint-Benoît,0.5475304958677686,0.4915115702479339,housenumber,97410_0017_00025,25,25 Rue des Alpinias,Rue des Alpinias,97470,Saint-Benoît,"974, La Réunion",97410,,,,ok
Cyber-base de la Chaloupe Saint-Leu,Association,Espace Public Numérique autre,221A, Rue Alexandre Bègue,97416,SAINT LEU,RE,,,,,Cyber-base de la Chaloupe Saint-Leu,Cyber-base de la Chaloupe Saint-Leu,gilles.ledoux@tco.re,+262 2 62 34 36 27 ,,LEDOUX Gilles,gilles.ledoux@tco.re,+262 2 62 34 36 27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.151244,55.320411,221a Rue Alexandre Bègue 97416 Saint-Leu,0.9795518181818181,,housenumber,97413_0040_00221_a,221a,221a Rue Alexandre Bègue,Rue Alexandre Bègue,97416,Saint-Leu,"974, La Réunion",97413,,,,ok
Cyberbase Cilaos,Association,Cyberbase/Cybercase,4, rue des Ecoles,97413,CILAOS,RE,,,,,Cyberbase Cilaos,Cyberbase Cilaos,cyberbaseci@civis.re,,,BERBY Marie Joe,cyberbaseci@civis.re,+262 2 62 47 07 46,,,,Mo,09:00,17:00,,,Tu,09:00,17:00,,,We,09:00,17:00,,,Th,09:00,17:00,,,Fr,09:00,17:00,,,Sa,09:00,17:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Communiquer et échanger sur Internet,Paramétrer un compte email,,Utiliser un client WebMail,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,,,Accéder aux principaux services en ligne,Gérer des documents numériques,,Connaitre et gérer,Gérer ses emails,,,Réaliser et Diffuser son CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.13358,55.472358,4 Rue des Ecoles 97413 Cilaos,0.9545981818181817,0.5760832659932659,housenumber,97424_0129_00004,4,4 Rue des Ecoles,Rue des Ecoles,97413,Cilaos,"974, La Réunion",97424,,,,ok
Cyberbase de l'Entre-Deux,Association,Espace Public Numérique autre,Place de la Liberté,97414,ENTRE DEUX,RE,,,,,Cyberbase de l'Entre-Deux,Cyberbase de l'Entre-Deux,cyberbase97414@gmail.com,+262 2 62 22 39 06 ,,,cybebase97414@gmail.com,+262 2 62 22 39 06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.250782,55.473261,Rue Hubert Delisle 97414 Entre-Deux,0.539030303030303,0.5372897463002114,street,97403_0300,,Rue Hubert Delisle,Rue Hubert Delisle,97414,Entre-Deux,"974, La Réunion",97403,,,,ok
Cyberbase Etang Salé,Association,Cyberbase/Cybercase,6, rue Chabrier,97427,L ETANG SALE,RE,,,,,Cyberbase Etang Salé,Cyberbase Etang Salé,cyberbasees@civis.re,,,DAMBREVILLE Laurent,cyberbasees@civis.re,+262 2 62 96 30 52,,,,Mo,09:00,17:00,,,Tu,09:00,17:00,,,We,09:00,17:00,,,Th,09:00,17:00,,,Fr,09:00,17:00,,,Sa,09:00,17:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,,,Accéder aux principaux services en ligne,Gérer des documents numériques,,Connaitre et gérer,,Connaître alternatives à Facebook,,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.258439,55.360959,6 Rue Louis Chabrier 97427 L'Étang-Salé,0.7470663636363636,,housenumber,97404_8circp_00006,6,6 Rue Louis Chabrier,Rue Louis Chabrier,97427,L'Étang-Salé,"974, La Réunion",97404,,,,ok
Cyberbase Ligne Paradis,Association,Cyberbase/Cybercase,77 ter route ligne paradis,97410,SAINT PIERRE,RE,,,,,Cyberbase Ligne Paradis,Cyberbase Ligne Paradis,cyberbaselp@civis.re,,,PECLET Maguy,cyberbaselp@civis.re,+262 2 62 49 96 15,,,,Mo,09:00,17:00,,,Tu,09:00,17:00,,,We,09:00,17:00,,,Th,09:00,17:00,,,Fr,09:00,17:00,,,Sa,09:00,17:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Communiquer et échanger sur Internet,Paramétrer un compte email,,Utiliser un client WebMail,,Utiliser Internet,,Utiliser les réseaux sociaux,Gérer des documents numériques,,,,,,Connaitre et gérer,Gérer ses emails,,,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.311235,55.472053,Route de la Ligne Paradis 97410 Saint-Pierre,0.7440263636363635,0.6884047035573122,street,97416_0681,,Route de la Ligne Paradis,Route de la Ligne Paradis,97410,Saint-Pierre,"974, La Réunion",97416,,,,ok
Cyber Base de la Plaine des Palmistes,Association,Espace Public Numérique autre,325 Rue de la République,97431,PLAINE DES PALMISTES,RE,,,,,Cyber Base de la Plaine des Palmistes,Cyber Base de la Plaine des Palmistes,informatique@plaine-des-palmistes.fr,+262 2 62 51 23 23,,ELISABETH  Joffroy,dbenard@cyber-base.org,+262 2 62 51 28 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.135291,55.626295,325 Rue de la République 97431 La Plaine-des-Palmistes,0.9198665694682675,,housenumber,97406_0430_00325,325,325 Rue de la République,Rue de la République,97431,La Plaine-des-Palmistes,"974, La Réunion",97406,,,,ok
Cyber-base de la Possession - Médiathèque HEVA,Association,Espace Public Numérique autre,24, Rue Evariste de Parny,97419,LA POSSESSION,RE,,,,https://www.cyber-base.org,Cyber-base de la Possession - Médiathèque HEVA,Cyber-base de la Possession - Médiathèque HEVA,la-possession.cyberbase@tco.re,+262 6 92 03 50 93,,ROBERT Patrick,la-possession.cyberbase@tco.re,+262 2 62 22 40 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.927012,55.337396,24 Rue Evariste de Parny 97419 La Possession,0.9686409090909089,,housenumber,97408_0190_00024,24,24 Rue Evariste de Parny,Rue Evariste de Parny,97419,La Possession,"974, La Réunion",97408,,,,ok
Cyberbase Petite Ile,Association,Cyberbase/Cybercase,159, rue Mahé de Labourdonnais,97429,PETITE ILE,RE,,,,,Cyberbase Petite Ile,Cyberbase Petite Ile,cyberbasepi@civis.re,,,FONTAINE Cedric,cyberbasepi@civis.re,+262 2 62 28 07 91,,,,Mo,09:00,17:00,,,Tu,09:00,17:00,,,We,09:00,17:00,,,Th,09:00,17:00,,,Fr,09:00,17:00,,,Sa,09:00,17:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,,,Accéder aux principaux services en ligne,Gérer des documents numériques,,Connaitre et gérer,,,,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.357622,55.565779,159 Rue Mahé de Labourdonnais 97429 Petite-Île,0.97164,,housenumber,97405_0370_00159,159,159 Rue Mahé de Labourdonnais,Rue Mahé de Labourdonnais,97429,Petite-Île,"974, La Réunion",97405,,,,ok
Cyberbase Ravine des Cabris,Association,Cyberbase/Cybercase,chemin moulin a café,97432,RAVINE DES CABRIS,RE,,,,,Cyberbase Ravine des Cabris,Cyberbase Ravine des Cabris,cybebraserdc@civis.re,,,TAILLAMIN Cynthia,cybebraserdc@civis.re,+262 2 62 43 97 41,,,,Mo,09:00,17:00,,,Tu,09:00,17:00,,,We,09:00,17:00,,,Th,09:00,17:00,,,Fr,09:00,17:00,,,Sa,09:00,17:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Communiquer et échanger sur Internet,Paramétrer un compte email,Connaître les outils du cloud,Utiliser un client WebMail,Gérer ses données,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,,,Accéder aux principaux services en ligne,Gérer des documents numériques,,Connaitre et gérer,,,,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.284405,55.472502,Chemin Moulin à Café 97432 Saint-Pierre,0.5918503171247358,0.5506441889483066,street,97416_0202,,Chemin Moulin à Café,Chemin Moulin à Café,97432,Saint-Pierre,"974, La Réunion",97416,,,,ok
Cyberbase Saint Louis,Association,Cyberbase/Cybercase,41, rue Bois de Prune,97450,SAINT LOUIS,RE,,,,,Cyberbase Saint Louis,Cyberbase Saint Louis,cyberbasesl@civis.re,,,TECHER Mickael,cyberbasesl@civis.re,+262 2 62 57 21 77,,,,Mo,09:00,17:00,,,Tu,09:00,17:00,,,We,09:00,17:00,,,Th,09:00,17:00,,,Fr,09:00,17:00,,,Sa,09:00,17:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Communiquer et échanger sur Internet,Paramétrer un compte email,,Utiliser un client WebMail,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Gérer ses emails,,Surfer librement sur internet,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.284419,55.41843,41 Rue des Bois de Prune 97450 Saint-Louis,0.8477781504702193,,housenumber,97414_0197_00041,41,41 Rue des Bois de Prune,Rue des Bois de Prune,97450,Saint-Louis,"974, La Réunion",97414,,,,ok
Cyber-base Sainte-Marie,Association,Espace Public Numérique autre,99, avenue du 20 décembre 1848,97420,LE PORT,RE,,,,https://www.tco.re/les-cyber-bases-du-tco/cyber-base-du-port,Cyber-base Le Port  Médiathèque Benoîte Boulard ,Cyber-base Le Port  Médiathèque Benoîte Boulard ,cyberbaseleport@gmail.com,+262 2 62 32 14 89,,LETOULLEC Lionnel,cyberbaseleport@gmail.com,+262 2 62 32 14 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.942333,55.297848,99 Avenue du 20 Décembre 1848 97420 Le Port,0.9693836363636362,,housenumber,97407_0467_00099,99,99 Avenue du 20 Décembre 1848,Avenue du 20 Décembre 1848,97420,Le Port,"974, La Réunion",97407,,,,ok
